Number;photo;azimuth;lon;lat;angle_h;angle_v
1;16a.JPG;293.7;37.663659417;55.760126177;0;15
2;16b.JPG;323.7;37.663659417;55.760126177;30;15
3;16c.JPG;263.7;37.663659417;55.760126177;-30;15
4;16d.JPG;293.7;37.663659417;55.760126177;0;40
5;16e.JPG;323.7;37.663659417;55.760126177;30;40
6;16f.JPG;263.7;37.663659417;55.760126177;-30;40
7;17a.JPG;293.7;37.663627503;55.760085016;0;15
8;17b.JPG;323.7;37.663627503;55.760085016;30;15
9;17c.JPG;263.7;37.663627503;55.760085016;-30;15
10;17d.JPG;293.7;37.663627503;55.760085016;0;40
11;17e.JPG;323.7;37.663627503;55.760085016;30;40
12;17f.JPG;263.7;37.663627503;55.760085016;-30;40
13;18a.JPG;293.7;37.663595478;55.760043883;0;15
14;18b.JPG;323.7;37.663595478;55.760043883;30;15
15;18c.JPG;263.7;37.663595478;55.760043883;-30;15
16;18d.JPG;293.7;37.663595478;55.760043883;0;40
17;18e.JPG;323.7;37.663595478;55.760043883;30;40
18;18f.JPG;263.7;37.663595478;55.760043883;-30;40
19;19a.JPG;293.7;37.663563454;55.760002749;0;15
20;19b.JPG;323.7;37.663563454;55.760002749;30;15
21;19c.JPG;263.7;37.663563454;55.760002749;-30;15
22;19d.JPG;293.7;37.663563454;55.760002749;0;40
23;19e.JPG;323.7;37.663563454;55.760002749;30;40
24;19f.JPG;263.7;37.663563454;55.760002749;-30;40
25;20a.JPG;293.7;37.66353143;55.759961615;0;15
26;20b.JPG;323.7;37.66353143;55.759961615;30;15
27;20c.JPG;263.7;37.66353143;55.759961615;-30;15
28;20d.JPG;293.7;37.66353143;55.759961615;0;40
29;20e.JPG;323.7;37.66353143;55.759961615;30;40
30;20f.JPG;263.7;37.66353143;55.759961615;-30;40
31;21a.JPG;293.7;37.663499406;55.759920482;0;15
32;21b.JPG;323.7;37.663499406;55.759920482;30;15
33;21c.JPG;263.7;37.663499406;55.759920482;-30;15
34;21d.JPG;293.7;37.663499406;55.759920482;0;40
35;21e.JPG;323.7;37.663499406;55.759920482;30;40
36;21f.JPG;263.7;37.663499406;55.759920482;-30;40
37;22a.JPG;293.7;37.663467382;55.759879348;0;15
38;22b.JPG;323.7;37.663467382;55.759879348;30;15
39;22c.JPG;263.7;37.663467382;55.759879348;-30;15
40;22d.JPG;293.7;37.663467382;55.759879348;0;40
41;22e.JPG;323.7;37.663467382;55.759879348;30;40
42;22f.JPG;263.7;37.663467382;55.759879348;-30;40
43;23a.JPG;293.7;;;0;15
44;23b.JPG;323.7;37.663435358;55.759838214;30;15
45;23c.JPG;263.7;37.663435358;55.759838214;-30;15
46;23d.JPG;293.7;37.663435358;55.759838214;0;40
47;23e.JPG;323.7;37.663435358;55.759838214;30;40
48;23f.JPG;263.7;37.663435358;55.759838214;-30;40
49;24a.JPG;293.7;37.663403334;55.75979708;0;15
50;24b.JPG;323.7;37.663403334;55.75979708;30;15
51;24c.JPG;263.7;37.663403334;55.75979708;-30;15
52;24d.JPG;293.7;37.663403334;55.75979708;0;40
53;24e.JPG;323.7;37.663403334;55.75979708;30;40
54;24f.JPG;263.7;37.663403334;55.75979708;-30;40
55;25a.JPG;293.7;37.66337131;55.759755947;0;15
56;25b.JPG;323.7;37.66337131;55.759755947;30;15
57;25c.JPG;263.7;37.66337131;55.759755947;-30;15
58;25d.JPG;293.7;37.66337131;55.759755947;0;40
59;25e.JPG;323.7;37.66337131;55.759755947;30;40
60;25f.JPG;263.7;37.66337131;55.759755947;-30;40
61;26a.JPG;293.7;37.663339287;55.759714813;0;15
62;26b.JPG;323.7;37.663339287;55.759714813;30;15
63;26c.JPG;263.7;37.663339287;55.759714813;-30;15
64;26d.JPG;293.7;37.663339287;55.759714813;0;40
65;26e.JPG;323.7;37.663339287;55.759714813;30;40
66;26f.JPG;263.7;37.663339287;55.759714813;-30;40
67;27a.JPG;293.7;37.663307263;55.759673679;0;15
68;27b.JPG;323.7;37.663307263;55.759673679;30;15
69;27c.JPG;263.7;37.663307263;55.759673679;-30;15
70;27d.JPG;293.7;37.663307263;55.759673679;0;40
71;27e.JPG;323.7;37.663307263;55.759673679;30;40
72;27f.JPG;263.7;37.663307263;55.759673679;-30;40
73;28a.JPG;293.7;37.663275239;55.759632546;0;15
74;28b.JPG;323.7;37.663275239;55.759632546;30;15
75;28c.JPG;263.7;37.663275239;55.759632546;-30;15
76;28d.JPG;293.7;37.663275239;55.759632546;0;40
77;28e.JPG;323.7;37.663275239;55.759632546;30;40
78;28f.JPG;263.7;37.663275239;55.759632546;-30;40
